index,Language
Ada,542
Apex,502
Assembly,3233
Bash/Shell (all shells),20412
C,12184
C#,16318
C++,13827
Clojure,737
Cobol,413
Crystal,253
Dart,3594
Delphi,1073
Elixir,1243
Erlang,522
F#,512
Fortran,665
GDScript,1402
Go,8103
Groovy,2004
HTML/CSS,31816
Haskell,1193
Java,18239
JavaScript,37492
Julia,684
Kotlin,5665
Lisp,889
Lua,3728
MATLAB,2378
MicroPython,942
Nim,210
OCaml,458
Objective-C,1283
PHP,10951
Perl,1482
PowerShell,8328
Prolog,486
Python,30719
R,2595
Ruby,3147
Rust,7559
SQL,30682
Scala,1547
Solidity,644
Swift,2829
TypeScript,23150
VBA,2248
Visual Basic (.Net),2499
Zephyr,184
Zig,667
